"PROVINCIA","MUNICIPIO","ESTACION","MAGNITUD","PUNTO_MUESTREO","ANO","MES","DIA","H01","V01","H02","V02","H03","V03","H04","V04","H05","V05","H06","V06","H07","V07","H08","V08","H09","V09","H10","V10","H11","V11","H12","V12","H13","V13","H14","V14","H15","V15","H16","V16","H17","V17","H18","V18","H19","V19","H20","V20","H21","V21","H22","V22","H23","V23","H24","V24"
28,79,103,86,"28079103_86_98",2024,2,26,91,"V",91,"V",77,"V",60,"V",58,"V",63,"V",66,"V",78,"V",78,"V",63,"V",57,"V",50,"V",45,"V",42,"V",40,"V",49,"V",59,"V",60,"V",62,"V",60,"V",60,"V",58,"V",56,"V",0,"N"
28,79,103,87,"28079103_87_98",2024,2,26,941,"V",940,"V",940,"V",940,"V",939,"V",939,"V",939,"V",940,"V",940,"V",940,"V",940,"V",940,"V",941,"V",940,"V",940,"V",940,"V",941,"V",941,"V",941,"V",942,"V",943,"V",943,"V",944,"V",0,"N"
28,79,103,88,"28079103_88_98",2024,2,26,2,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",2,"V",84,"V",296,"V",452,"V",655,"V",756,"V",695,"V",554,"V",147,"V",126,"V",90,"V",25,"V",1,"V",1,"V",1,"V",1,"V",0,"N"
28,79,103,89,"28079103_89_98",2024,2,26,0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"N"
28,79,104,81,"28079104_81_98",2024,2,26,3.27,"V",1.58,"V",1.23,"V",1.17,"V",1.73,"V",2.05,"N",1.08,"V",1.38,"V",1.35,"V",2.22,"V",4.6,"V",5.6,"N",3.53,"V",2.58,"V",4.33,"N",3.43,"V",1.65,"V",2.07,"V",2.02,"V",1.8,"V",1.45,"V",1.43,"V",3.06,"V",0,"N"
28,79,104,82,"28079104_82_98",2024,2,26,242,"V",242,"V",276,"V",244,"V",301,"V",265,"N",267,"V",245,"V",256,"V",289,"V",303,"V",294,"N",305,"V",283,"V",263,"N",301,"V",283,"V",272,"V",292,"V",341,"V",244,"V",252,"V",317,"V",0,"N"
28,79,106,81,"28079106_81_98",2024,2,26,2.92,"V",2.4,"V",2.67,"V",2.98,"V",1.67,"V",0.58,"V",1.47,"V",0.42,"V",2.7,"V",3.25,"N",4.38,"V",3.75,"V",3.62,"V",3.38,"V",3.13,"V",4.18,"V",3.67,"V",3.05,"V",2.13,"V",1.67,"V",1.85,"V",3.28,"V",3.28,"V",0,"N"
28,79,106,82,"28079106_82_98",2024,2,26,246,"V",241,"V",264,"V",304,"V",290,"V",232,"V",228,"V",3,"V",5,"V",342,"N",332,"V",319,"V",312,"V",334,"V",312,"V",342,"V",346,"V",330,"V",325,"V",323,"V",335,"V",1,"V",356,"V",0,"N"
28,79,106,83,"28079106_83_98",2024,2,26,8.7,"V",8.8,"V",8.8,"V",8.2,"V",7.8,"V",7.3,"V",7.2,"V",6.3,"V",6.1,"V",7,"N",7.1,"V",8.3,"V",8.2,"V",8.9,"V",9,"V",6.6,"V",6.5,"V",6.3,"V",6.3,"V",6.6,"V",6.7,"V",6,"V",5.4,"V",0,"N"
28,79,106,86,"28079106_86_98",2024,2,26,91,"V",84,"V",60,"V",58,"V",60,"V",62,"V",66,"V",74,"V",67,"V",63,"N",60,"V",51,"V",48,"V",44,"V",43,"V",58,"V",59,"V",63,"V",64,"V",61,"V",56,"V",55,"V",56,"V",0,"N"
28,79,106,87,"28079106_87_98",2024,2,26,942,"V",942,"V",942,"V",942,"V",941,"V",941,"V",941,"V",942,"V",942,"V",942,"N",942,"V",942,"V",942,"V",942,"V",942,"V",942,"V",942,"V",943,"V",943,"V",944,"V",944,"V",945,"V",946,"V",0,"N"
28,79,106,88,"28079106_88_98",2024,2,26,2,"V",3,"V",3,"V",3,"V",2,"V",3,"V",3,"V",4,"V",39,"V",121,"N",327,"V",638,"V",431,"V",623,"V",387,"V",138,"V",125,"V",84,"V",26,"V",3,"V",3,"V",3,"V",2,"V",0,"N"
28,79,106,89,"28079106_89_98",2024,2,26,0.1,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"N",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"N"
28,79,107,81,"28079107_81_98",2024,2,26,3.18,"V",2.98,"V",2.92,"V",2.38,"V",1.87,"V",1.83,"V",2.45,"V",3.42,"V",1.82,"V",2.35,"V",2.38,"V",2.38,"V",2.15,"V",2.77,"V",3.03,"V",3.07,"V",2.37,"V",1.92,"V",1.28,"V",0.7,"V",0.75,"V",1.1,"V",0,"N",0,"N"
28,79,107,82,"28079107_82_98",2024,2,26,229,"V",247,"V",310,"V",1,"V",265,"V",261,"V",249,"V",256,"V",255,"V",323,"V",300,"V",288,"V",306,"V",272,"V",268,"V",316,"V",292,"V",267,"V",283,"V",13,"V",8,"V",298,"V",0,"N",0,"N"
28,79,107,83,"28079107_83_98",2024,2,26,7.6,"V",7.6,"V",7.5,"V",6.8,"V",6.5,"V",6.3,"V",6.3,"V",5.5,"V",5.1,"V",5.2,"V",5.6,"V",6.9,"V",7.6,"V",7.8,"V",8.1,"V",5.6,"V",5.1,"V",5.1,"V",5.3,"V",5.4,"V",5.5,"V",5,"V",0,"N",0,"N"
28,79,107,86,"28079107_86_98",2024,2,26,93,"V",84,"V",66,"V",63,"V",63,"V",64,"V",67,"V",71,"V",69,"V",68,"V",64,"V",56,"V",50,"V",46,"V",43,"V",59,"V",63,"V",65,"V",65,"V",62,"V",58,"V",58,"V",0,"N",0,"N"
28,79,107,87,"28079107_87_98",2024,2,26,932,"V",932,"V",931,"V",931,"V",931,"V",930,"V",930,"V",930,"V",931,"V",931,"V",931,"V",932,"V",932,"V",931,"V",931,"V",931,"V",932,"V",932,"V",932,"V",933,"V",934,"V",934,"V",0,"N",0,"N"
28,79,107,88,"28079107_88_98",2024,2,26,1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",85,"V",239,"V",475,"V",654,"V",540,"V",737,"V",562,"V",153,"V",123,"V",87,"V",24,"V",1,"V",1,"V",1,"V",0,"N",0,"N"
28,79,107,89,"28079107_89_98",2024,2,26,0.1,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"N",0,"N"
28,79,108,81,"28079108_81_98",2024,2,26,2.3,"V",1.73,"V",2.1,"V",2.45,"V",0.82,"V",0.65,"V",1.35,"V",1.92,"V",2.17,"V",2.62,"V",2.77,"V",3.15,"V",3,"V",3.53,"V",3.33,"V",2.65,"V",3.28,"V",1.77,"V",1.3,"V",0.85,"V",1.08,"V",1.87,"V",2.1,"N",0,"N"
28,79,108,82,"28079108_82_98",2024,2,26,207,"V",238,"V",219,"V",266,"V",185,"V",173,"V",201,"V",266,"V",254,"V",251,"V",235,"V",284,"V",264,"V",256,"V",253,"V",276,"V",251,"V",215,"V",248,"V",36,"V",252,"V",258,"V",269,"N",0,"N"
28,79,108,83,"28079108_83_98",2024,2,26,7.7,"V",7.6,"V",7.3,"V",6.7,"V",6.9,"V",7.2,"V",6.5,"V",5.7,"V",5,"V",5.8,"V",6.5,"V",7.6,"V",7.6,"V",8.1,"V",7.9,"V",5.3,"V",5.1,"V",5.5,"V",5.7,"V",6.3,"V",5.7,"V",5,"V",4.5,"N",0,"N"
28,79,108,86,"28079108_86_98",2024,2,26,94,"V",80,"V",64,"V",64,"V",65,"V",65,"V",69,"V",72,"V",71,"V",66,"V",61,"V",52,"V",50,"V",45,"V",47,"V",63,"V",65,"V",68,"V",66,"V",62,"V",59,"V",59,"V",58,"N",0,"N"
28,79,108,87,"28079108_87_98",2024,2,26,934,"V",935,"V",934,"V",934,"V",934,"V",933,"V",934,"V",934,"V",934,"V",934,"V",935,"V",934,"V",934,"V",934,"V",933,"V",934,"V",935,"V",935,"V",935,"V",936,"V",937,"V",938,"V",938,"N",0,"N"
28,79,108,88,"28079108_88_98",2024,2,26,1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",2,"V",75,"V",274,"V",493,"V",660,"V",555,"V",689,"V",394,"V",124,"V",127,"V",81,"V",19,"V",1,"V",1,"V",1,"V",1,"N",0,"N"
28,79,108,89,"28079108_89_98",2024,2,26,0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"N",0,"N"
28,79,109,83,"28079109_83_98",2024,2,26,10.2,"V",10.2,"V",10.4,"V",9.8,"V",9.5,"V",9.2,"V",9.1,"V",8.6,"V",9.6,"V",11.7,"V",11.2,"V",13.4,"V",14.8,"V",14,"V",13.8,"V",10.1,"V",9.2,"V",8.8,"V",8.6,"V",9,"V",9,"V",8.5,"V",7.8,"N",0,"N"
28,79,109,86,"28079109_86_98",2024,2,26,96,"V",86,"V",58,"V",58,"V",59,"V",60,"V",64,"V",70,"V",63,"V",59,"V",56,"V",47,"V",41,"V",39,"V",37,"V",52,"V",56,"V",60,"V",62,"V",57,"V",54,"V",54,"V",53,"N",0,"N"
28,79,110,83,"28079110_83_98",2024,2,26,10.4,"V",10.2,"V",10.3,"V",9.8,"V",9.5,"V",9.3,"V",9,"V",8.5,"V",8,"V",8.6,"V",8.6,"V",9.8,"V",10.1,"V",10.5,"V",10.9,"V",8.7,"V",8.5,"V",8.3,"V",8,"V",8.5,"V",8.6,"V",8,"V",7.4,"N",0,"N"
28,79,110,86,"28079110_86_98",2024,2,26,94,"V",93,"V",63,"V",60,"V",60,"V",63,"V",66,"V",74,"V",71,"V",64,"V",61,"V",53,"V",48,"V",43,"V",41,"V",55,"V",58,"V",62,"V",64,"V",60,"V",55,"V",55,"V",55,"N",0,"N"
28,79,111,83,"28079111_83_98",2024,2,26,10,"V",10.2,"V",10.2,"V",9.4,"V",9.1,"V",8.9,"V",8.8,"V",7.9,"V",7.4,"V",7.8,"V",8.1,"V",9.2,"V",9.8,"V",10.2,"V",10.4,"V",8.4,"V",7.7,"V",7.7,"V",7.8,"V",8.1,"V",8.1,"V",7.6,"V",7.1,"N",0,"N"
28,79,111,86,"28079111_86_98",2024,2,26,95,"V",82,"V",62,"V",61,"V",62,"V",64,"V",66,"V",74,"V",69,"V",67,"V",63,"V",55,"V",49,"V",44,"V",40,"V",54,"V",59,"V",63,"V",63,"V",59,"V",55,"V",55,"V",54,"N",0,"N"
28,79,112,83,"28079112_83_98",2024,2,26,10.5,"V",10.3,"V",10.2,"V",9.8,"V",9.5,"V",9.1,"V",9.1,"V",8.6,"V",7.8,"V",9,"V",10.2,"V",11.1,"V",11.6,"V",12.1,"V",12.4,"V",10.3,"V",9.4,"V",9.1,"V",8.6,"V",8.8,"V",8.8,"V",8.5,"V",7.7,"N",0,"N"
28,79,112,86,"28079112_86_98",2024,2,26,91,"V",92,"V",75,"V",61,"V",59,"V",62,"V",64,"V",71,"V",71,"V",61,"V",55,"V",48,"V",42,"V",38,"V",37,"V",47,"V",53,"V",57,"V",60,"V",58,"V",54,"V",53,"V",53,"N",0,"N"
28,79,113,83,"28079113_83_98",2024,2,26,11.5,"V",11.2,"V",11.1,"V",10.8,"V",10.6,"V",10.2,"V",10.1,"V",9.9,"V",9.4,"V",9.9,"V",10.5,"V",11,"V",11.4,"V",11.8,"V",12.3,"V",11.5,"V",10.5,"V",10.4,"V",10.1,"V",10.1,"V",9.9,"V",9.6,"V",8.9,"N",0,"N"
28,79,113,86,"28079113_86_98",2024,2,26,89,"V",90,"V",74,"V",59,"V",59,"V",61,"V",64,"V",69,"V",68,"V",60,"V",55,"V",50,"V",45,"V",41,"V",39,"V",46,"V",52,"V",55,"V",58,"V",56,"V",53,"V",51,"V",52,"N",0,"N"
28,79,114,83,"28079114_83_98",2024,2,26,11.3,"V",11.2,"V",11.2,"V",10.6,"V",10.5,"V",10.2,"V",10.1,"V",9.5,"V",9.1,"V",9.9,"V",10.2,"V",10.9,"V",11.6,"V",11.9,"V",12.3,"V",10.1,"V",9.5,"V",9.4,"V",9,"V",9.1,"V",9.3,"V",8.7,"V",8.2,"N",0,"N"
28,79,114,86,"28079114_86_98",2024,2,26,90,"V",91,"V",72,"V",60,"V",58,"V",61,"V",64,"V",71,"V",70,"V",60,"V",56,"V",51,"V",45,"V",42,"V",40,"V",51,"V",56,"V",59,"V",62,"V",60,"V",55,"V",55,"V",54,"N",0,"N"
28,79,115,83,"28079115_83_98",2024,2,26,11.2,"V",11.1,"V",11.1,"V",10.6,"V",10.4,"V",10.1,"V",10,"V",9.4,"V",9.1,"V",9.9,"V",10.2,"V",10.8,"V",11.5,"V",11.8,"V",12.1,"V",10,"V",9.5,"V",9.3,"V",8.9,"V",9,"V",9.3,"V",8.6,"V",8.1,"N",0,"N"
28,79,115,86,"28079115_86_98",2024,2,26,90,"V",91,"V",71,"V",59,"V",58,"V",61,"V",64,"V",71,"V",70,"V",60,"V",56,"V",51,"V",45,"V",42,"V",40,"V",51,"V",57,"V",59,"V",62,"V",60,"V",56,"V",56,"V",55,"N",0,"N"
28,79,4,83,"28079004_83_98",2024,2,26,10.3,"V",10.1,"V",10.3,"V",9.7,"V",9.5,"V",9.2,"V",8.9,"V",8.5,"V",7.8,"V",8.9,"V",9.9,"V",11.5,"V",11.5,"V",12.1,"V",11.8,"V",9.6,"V",9,"V",8.6,"V",8.3,"V",8.7,"V",8.9,"V",8.4,"V",7.6,"V",0,"N"
28,79,8,83,"28079008_83_98",2024,2,26,10,"V",9.8,"V",10.1,"V",9.5,"V",9.1,"V",8.9,"V",8.7,"V",8.3,"V",7.7,"V",8.6,"V",8.9,"V",10.4,"V",11.7,"V",12.3,"V",11.9,"V",9.1,"V",8.2,"V",8.2,"V",8.1,"V",8.4,"V",8.4,"V",7.8,"V",7.1,"V",0,"N"
28,79,8,86,"28079008_86_98",2024,2,26,96,"V",95,"V",64,"V",63,"V",63,"V",65,"V",69,"V",75,"V",72,"V",65,"V",61,"V",52,"V",46,"V",42,"V",42,"V",56,"V",61,"V",64,"V",66,"V",62,"V",58,"V",58,"V",58,"V",0,"N"
28,79,16,83,"28079016_83_98",2024,2,26,10.1,"V",10.1,"V",10.2,"V",9.4,"V",9.2,"V",8.9,"V",8.8,"V",8.2,"V",7.7,"V",7.6,"V",8,"V",10.4,"V",11.5,"V",12.1,"V",12.1,"V",8.8,"V",7.8,"V",7.8,"V",8.1,"V",8.3,"V",8.3,"V",7.8,"V",7.1,"V",0,"N"
28,79,16,86,"28079016_86_98",2024,2,26,96,"V",84,"V",63,"V",63,"V",64,"V",65,"V",68,"V",74,"V",70,"V",70,"V",66,"V",55,"V",49,"V",45,"V",42,"V",57,"V",63,"V",66,"V",66,"V",63,"V",59,"V",59,"V",58,"V",0,"N"
28,79,18,83,"28079018_83_98",2024,2,26,10.8,"V",10.7,"V",10.5,"V",9.9,"V",9.8,"V",9.6,"V",9.6,"V",9.2,"V",8.6,"V",11.1,"V",11.4,"V",12.8,"V",13.5,"V",14.2,"V",14.2,"V",10.6,"V",9.7,"V",9.4,"V",8.7,"V",8.9,"V",8.9,"V",8.2,"V",7.5,"V",0,"N"
28,79,24,81,"28079024_81_98",2024,2,26,3.82,"V",2.52,"V",2.22,"V",2.36,"V",2.27,"V",0.81,"V",1.09,"V",0.76,"V",1.69,"V",1.86,"V",3.01,"V",2.41,"V",2.66,"V",2.49,"V",2.6,"V",2.73,"V",1.52,"V",2.59,"V",2.17,"V",1.69,"V",1.66,"V",1.74,"V",2.29,"V",0,"N"
28,79,24,82,"28079024_82_98",2024,2,26,218,"V",231,"V",267,"V",257,"V",277,"V",199,"V",123,"V",128,"V",250,"V",302,"V",303,"V",285,"V",284,"V",265,"V",281,"V",303,"V",273,"V",281,"V",285,"V",288,"V",297,"V",286,"V",292,"V",0,"N"
28,79,24,83,"28079024_83_98",2024,2,26,9.5,"V",9.5,"V",9.5,"V",9.1,"V",8.9,"V",8.7,"V",8.3,"V",7.7,"V",7.1,"V",8.3,"V",8.2,"V",9.3,"V",9.4,"V",10.5,"V",10.3,"V",8,"V",8,"V",7.6,"V",7.3,"V",7.6,"V",7.7,"V",6.9,"V",6.3,"V",0,"N"
28,79,24,86,"28079024_86_98",2024,2,26,98,"V",96,"V",67,"V",63,"V",63,"V",66,"V",71,"V",77,"V",76,"V",67,"V",64,"V",57,"V",52,"V",48,"V",46,"V",60,"V",63,"V",66,"V",69,"V",64,"V",60,"V",60,"V",60,"V",0,"N"
28,79,24,87,"28079024_87_98",2024,2,26,935,"V",935,"V",935,"V",934,"V",934,"V",934,"V",934,"V",934,"V",935,"V",935,"V",935,"V",936,"V",936,"V",935,"V",935,"V",935,"V",936,"V",936,"V",937,"V",937,"V",938,"V",939,"V",940,"V",0,"N"
28,79,24,88,"28079024_88_98",2024,2,26,1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",61,"V",247,"V",388,"V",583,"V",436,"V",701,"V",440,"V",136,"V",114,"V",75,"V",20,"V",1,"V",1,"V",1,"V",1,"V",0,"N"
28,79,24,89,"28079024_89_98",2024,2,26,0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"N"
28,79,35,83,"28079035_83_98",2024,2,26,10.1,"V",10.1,"V",10.3,"V",9.7,"V",9.5,"V",9.3,"V",9,"V",8.7,"V",7.9,"V",8.2,"V",8.6,"V",10.5,"V",12.4,"V",12.8,"V",12.7,"V",9.5,"V",8.8,"V",8.6,"V",8.4,"V",8.7,"V",8.9,"V",8.2,"V",7.4,"V",0,"N"
28,79,35,86,"28079035_86_98",2024,2,26,94,"V",93,"V",63,"V",61,"V",61,"V",63,"V",67,"V",73,"V",71,"V",66,"V",62,"V",52,"V",43,"V",40,"V",39,"V",53,"V",58,"V",61,"V",64,"V",61,"V",57,"V",56,"V",57,"V",0,"N"
28,79,36,83,"28079036_83_98",2024,2,26,10,"V",10,"V",10,"V",9.6,"V",9.3,"V",9,"V",8.9,"V",8.3,"V",7.7,"V",7.7,"V",7.8,"V",8.4,"V",9.3,"V",9.6,"V",10.7,"V",8.9,"V",8.1,"V",8,"V",8.1,"V",8.3,"V",8.4,"V",7.9,"V",7.2,"V",0,"N"
28,79,36,86,"28079036_86_98",2024,2,26,96,"V",96,"V",76,"V",63,"V",63,"V",65,"V",67,"V",75,"V",72,"V",69,"V",65,"V",59,"V",52,"V",47,"V",44,"V",56,"V",61,"V",65,"V",66,"V",63,"V",59,"V",58,"V",58,"V",0,"N"
28,79,38,83,"28079038_83_98",2024,2,26,9.5,"V",9.6,"V",9.6,"V",9,"V",8.6,"V",8.6,"V",8.4,"V",7.8,"V",7.3,"V",8,"V",7.7,"V",8.7,"V",9.1,"V",9.5,"V",10,"V",7.6,"V",7.2,"V",7.2,"V",7.3,"V",7.7,"V",7.7,"V",7,"V",6.3,"V",0,"N"
28,79,38,86,"28079038_86_98",2024,2,26,96,"V",86,"V",64,"V",63,"V",64,"V",65,"V",68,"V",75,"V",70,"V",67,"V",64,"V",57,"V",52,"V",47,"V",45,"V",61,"V",64,"V",67,"V",68,"V",63,"V",60,"V",60,"V",59,"V",0,"N"
28,79,39,83,"28079039_83_98",2024,2,26,9.9,"V",9.9,"V",9.8,"V",9.2,"V",8.9,"V",9,"V",8.9,"V",8.2,"V",7.4,"V",7.7,"V",8.8,"V",10.7,"V",10.4,"V",11.1,"V",11.2,"V",8.1,"V",7.6,"V",7.7,"V",7.9,"V",8.2,"V",8.2,"V",7.5,"V",6.9,"V",0,"N"
28,79,39,86,"28079039_86_98",2024,2,26,96,"V",85,"V",66,"V",64,"V",65,"V",65,"V",68,"V",72,"V",71,"V",69,"V",62,"V",53,"V",50,"V",45,"V",44,"V",61,"V",65,"V",67,"V",67,"V",62,"V",59,"V",59,"V",58,"V",0,"N"
28,79,39,89,"28079039_89_98",2024,2,26,0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0.1,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"N"
28,79,54,81,"28079054_81_98",2024,2,26,2.13,"V",2.07,"V",2.57,"V",2.63,"V",3.73,"V",2.1,"V",1.95,"V",1.63,"V",2.34,"V",3.88,"V",4.42,"V",4.8,"V",4.43,"V",4.38,"V",4.23,"V",5.29,"V",3.9,"V",4.36,"V",3.32,"V",1.98,"V",1.31,"V",1.86,"V",2.91,"V",0,"N"
28,79,54,82,"28079054_82_98",2024,2,26,227,"V",259,"V",242,"V",274,"V",263,"V",254,"V",209,"V",195,"V",231,"V",289,"V",281,"V",278,"V",280,"V",278,"V",273,"V",285,"V",290,"V",273,"V",284,"V",287,"V",297,"V",267,"V",301,"V",0,"N"
28,79,54,83,"28079054_83_98",2024,2,26,10.3,"V",10.3,"V",10.2,"V",9.7,"V",9.5,"V",9.1,"V",9,"V",8,"V",7.6,"V",8.7,"V",8.2,"V",9.4,"V",10,"V",10.2,"V",10.3,"V",9.1,"V",8.2,"V",8,"V",7.9,"V",8.2,"V",8.5,"V",8.2,"V",7.3,"V",0,"N"
28,79,54,86,"28079054_86_98",2024,2,26,93,"V",92,"V",82,"V",61,"V",59,"V",62,"V",66,"V",78,"V",76,"V",64,"V",62,"V",54,"V",48,"V",44,"V",43,"V",51,"V",58,"V",61,"V",65,"V",62,"V",57,"V",56,"V",55,"V",0,"N"
28,79,54,88,"28079054_88_98",2024,2,26,3,"V",3,"V",3,"V",3,"V",3,"V",3,"V",3,"V",3,"V",70,"V",281,"V",303,"V",628,"V",660,"V",618,"V",502,"V",200,"V",120,"V",73,"V",25,"V",3,"V",3,"V",3,"V",3,"V",0,"N"
28,79,54,89,"28079054_89_98",2024,2,26,0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"N"
28,79,56,81,"28079056_81_98",2024,2,26,2.46,"V",1.86,"V",1.58,"V",1.93,"V",1.26,"V",0.82,"V",0.94,"V",1.17,"V",1.29,"V",1.84,"V",2.36,"V",2.05,"V",2.16,"V",2.06,"V",2.16,"V",2.09,"V",1.54,"V",2.03,"V",1.87,"V",1.03,"V",1.01,"V",1.45,"V",1.89,"V",0,"N"
28,79,56,82,"28079056_82_98",2024,2,26,234,"V",239,"V",262,"V",264,"V",70,"V",70,"V",261,"V",211,"V",252,"V",273,"V",279,"V",269,"V",265,"V",261,"V",248,"V",263,"V",255,"V",256,"V",262,"V",256,"V",246,"V",267,"V",275,"V",0,"N"
28,79,56,83,"28079056_83_98",2024,2,26,10.4,"V",10.4,"V",10.3,"V",9.9,"V",9.8,"V",9.5,"V",9.3,"V",8.7,"V",7.9,"V",9.7,"V",10,"V",11.5,"V",12.4,"V",12.1,"V",12.9,"V",10.1,"V",9.2,"V",9.1,"V",8.5,"V",8.8,"V",8.8,"V",8,"V",7.4,"V",0,"N"
28,79,56,86,"28079056_86_98",2024,2,26,97,"V",98,"V",81,"V",67,"V",65,"V",68,"V",72,"V",79,"V",79,"V",67,"V",61,"V",55,"V",49,"V",48,"V",45,"V",56,"V",63,"V",64,"V",68,"V",65,"V",63,"V",63,"V",62,"V",0,"N"
28,79,56,87,"28079056_87_98",2024,2,26,936,"V",935,"V",935,"V",934,"V",934,"V",934,"V",934,"V",934,"V",935,"V",935,"V",935,"V",936,"V",936,"V",935,"V",935,"V",935,"V",936,"V",936,"V",936,"V",938,"V",938,"V",939,"V",940,"V",0,"N"
